name,url,image,startDate,endDate,description,description_fr,location,city,region,page,region_abbr
Bad Day Music Festival 2025,https://www.musicfestivalwizard.com/festivals/bad-day-music-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/03/Bad-Day-Festival-2025-Lineup-Poster.jpg,2025-07-12,2025-07-12,"It's a good time for a Bad Day. The inaugural installment of BAD Day will feature two outdoor stages that will set the soundtrack with an eclectic mix of bluegrass, funk, reggae, house, and beyond. ",,Brooklyn Arts District,Wilmington,North Carolina,1,NC
Bayside Festival 2025,https://www.musicfestivalwizard.com/festivals/bayside-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/10/Bayside-Featured-Image.jpg,2025-07-11,2025-07-12,Bayside Festival is a 2-day celebration of music and the peak of summer.,,Steam Ferry Park,Helsingborg, Sweden,1,
Boogietown 2025,https://www.musicfestivalwizard.com/festivals/boogietown-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/10/Boogietown-Hero.jpg,2025-07-12,2025-07-12,"Boogietown is a disco, soul and funk filled weekender. The festival takes place 35 minutes from London at Apps Court Farm is amongst the bends of the Thames River, ancient woodland, green hills and hidden lakes in the British Countryside. ",,Apps Court Farm,London,United Kingdom,1,UK
Clout 2025,https://www.musicfestivalwizard.com/festivals/clout-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Clout-Featured-Image.jpg,2025-07-11,2025-07-12,"'CLOUT Festival presented by JD is the only Polish festival focused on the global rap scene. Two days filled with top-shelf rap, without division into categories. The CLOUT line-up consists of the most influential foreign artists of contemporary hip-hop: from headliners to newcomers.'",,Bemowo Airport,Warsaw, Poland,1,
Dreamstate Chicago 2025,https://www.musicfestivalwizard.com/festivals/dreamstate-chicago-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Dreamstate-Chicago-2025-Lineup-Poster.jpg,2025-07-12,2025-07-12,Dreamstate heads to Chicago for this small event. ,,Radius,Chicago,Illinois,1,IL
Jeezum Crow Festival 2025,https://www.musicfestivalwizard.com/festivals/jeezum-crow-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/03/Jeezum-Crow-Festival-2024-Lineup-Poster.jpg,2025-07-11,2025-07-12,"The intimate Jeezum Crow Festival is an annual festival loved by many. The Stateside Amphitheater is a 3000 person capacity outdoor venue which is made up of an orchestra pit, 750 stadium seats, and a grassy lawn.  ADA seating is available on all levels of the venue.",,Stateside Amphitheater,Jay,Vermont,1,VT
Kaleidoscope Festival 2025,https://www.musicfestivalwizard.com/festivals/kaleidoscope-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/12/Kaleidoscope-Hero.jpg,2025-07-12,2025-07-12,"At Kaleidoscope festival you will have panoramic views across the whole city, as well as the chance to explore hidden corners of the historic Palace and 196 acres of award-winning Park. The festival is quickly becoming a must experience for music lovers, families and performers, partying their way through London’s summertime.",,Alexandra Palace Park,London,United Kingdom,1,UK
Kubix 2025,https://www.musicfestivalwizard.com/festivals/kubix-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2023/09/Kubix-Featured-Image.jpg,2025-07-12,2025-07-12,"Kubix features two big stages of fantastic live music, on the Main Outdoor Stage and Big Top Dance Arena, plus lots of bars, loads of food stalls with cuisine from across the globe and attractions and rides. There's something for everyone at this festival.",,Herrington Park,Sunderland,United Kingdom,1,UK
Lakefront Music Fest 2025,https://www.musicfestivalwizard.com/festivals/lakefront-music-fest-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2022/07/Lakefront-Hero.jpg,2025-07-11,2025-07-12,Friday night is rock night and Saturday night is country night at the Lakefront Music Fest 2022 in Minnesota. ,,Lakefront Park,Prior Lake,Minnesota,1,MN
Lallycooler 2025,https://www.musicfestivalwizard.com/festivals/lallycooler-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2025/04/Lallycooler-2025-Lineup-Poster.jpg,2025-07-11,2025-07-12,,,Great Bear Ski Valley,Sioux Falls,South Dakota,1,SD
Lost in Dreams Festival 2025,https://www.musicfestivalwizard.com/festivals/lost-in-dreams-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/07/Lost-In-Dreams-Logo.jpg,2025-07-11,2025-07-12,"The Lost in Dreams Festival will transform downtown Los Angles and surrounding area into a transcendental space where visitors can experience a dreamworld come to life. Expect three stages of bass, dubstep, and dance music. ",,LA State Historic Park,Los Angeles,California,1,CA
Lost Minds Festival 2025,https://www.musicfestivalwizard.com/festivals/lost-minds-festival-2025/,https://www.musicfestivalwizard.com/wp-content/uploads/2024/06/Lost-Minds-Hero.jpg,2025-07-12,2025-07-12,"Lost Minds promises to be the ultimate EDM, trance and hardstyle festival in the northeast of the UK.",,Exhibition Park,Newcastle,United Kingdom,1,UK
